Location,Education Level,TimeFrame,DataFormat,Data,Fips,Rank,Z-score
Battery Park/Tribeca,Bachelor's Degree or Higher,2019,Percent,0.82659,101,1,2.159
Greenwich Village,Bachelor's Degree or Higher,2019,Percent,0.82659,102,2,2.159
Upper East Side,Bachelor's Degree or Higher,2019,Percent,0.81577,108,3,2.106
Murray Hill/Stuyvesant,Bachelor's Degree or Higher,2019,Percent,0.81337,106,4,2.094
Upper West Side,Bachelor's Degree or Higher,2019,Percent,0.80534,107,5,2.055
Park Slope,Bachelor's Degree or Higher,2019,Percent,0.77769,306,6,1.918
Chelsea/Clinton,Bachelor's Degree or Higher,2019,Percent,0.74091,104,7,1.737
Midtown Business District,Bachelor's Degree or Higher,2019,Percent,0.74091,105,8,1.737
Fort Greene/Brooklyn Hts,Bachelor's Degree or Higher,2019,Percent,0.68625,302,9,1.468
Rego Park/Forest Hills,Bachelor's Degree or Higher,2019,Percent,0.60416,406,10,1.064
Williamsburg/Greenpoint,Bachelor's Degree or Higher,2019,Percent,0.52515,301,11,0.675
Manhattanville,Bachelor's Degree or Higher,2019,Percent,0.51478,109,12,0.624
Astoria,Bachelor's Degree or Higher,2019,Percent,0.49838,401,13,0.543
Crown Heights North,Bachelor's Degree or Higher,2019,Percent,0.49008,308,14,0.502
Bayside,Bachelor's Degree or Higher,2019,Percent,0.47573,411,15,0.432
Bay Ridge,Bachelor's Degree or Higher,2019,Percent,0.46904,310,16,0.399
Sunnyside/Woodside,Bachelor's Degree or Higher,2019,Percent,0.43445,402,17,0.228
Riverdale,Bachelor's Degree or Higher,2019,Percent,0.42605,208,18,0.187
Tottenville,Bachelor's Degree or Higher,2019,Percent,0.41179,503,19,0.117
Central Harlem,Bachelor's Degree or Higher,2019,Percent,0.41156,110,20,0.116
Fresh Meadows/Briarwood,Bachelor's Degree or Higher,2019,Percent,0.41125,408,21,0.114
Sheepshead Bay,Bachelor's Degree or Higher,2019,Percent,0.40521,315,22,0.084
Flatbush/Midwood,Bachelor's Degree or Higher,2019,Percent,0.39924,314,23,0.055
Coney Island,Bachelor's Degree or Higher,2019,Percent,0.3992,313,24,0.055
Crown Heights South,Bachelor's Degree or Higher,2019,Percent,0.38774,309,25,-0.002
Bedford Stuyvesant,Bachelor's Degree or Higher,2019,Percent,0.38697,303,26,-0.005
Lower East Side,Bachelor's Degree or Higher,2019,Percent,0.38173,103,27,-0.031
South Beach,Bachelor's Degree or Higher,2019,Percent,0.36688,502,28,-0.104
Washington Heights,Bachelor's Degree or Higher,2019,Percent,0.35866,112,29,-0.145
Canarsie,Bachelor's Degree or Higher,2019,Percent,0.35185,318,30,-0.178
Bushwick,Bachelor's Degree or Higher,2019,Percent,0.33908,304,31,-0.241
Bensonhurst,Bachelor's Degree or Higher,2019,Percent,0.32906,311,32,-0.291
Borough Park,Bachelor's Degree or Higher,2019,Percent,0.32397,312,33,-0.316
Ridgewood/Glendale,Bachelor's Degree or Higher,2019,Percent,0.31978,405,34,-0.336
St. George,Bachelor's Degree or Higher,2019,Percent,0.31087,501,35,-0.380
Queens Village,Bachelor's Degree or Higher,2019,Percent,0.30956,413,36,-0.387
Woodhaven,Bachelor's Degree or Higher,2019,Percent,0.30861,409,37,-0.391
East Harlem,Bachelor's Degree or Higher,2019,Percent,0.30751,111,38,-0.397
Sunset Park,Bachelor's Degree or Higher,2019,Percent,0.30647,307,39,-0.402
Pelham Parkway,Bachelor's Degree or Higher,2019,Percent,0.27521,211,40,-0.556
Flushing,Bachelor's Degree or Higher,2019,Percent,0.27158,407,41,-0.574
East Flatbush,Bachelor's Degree or Higher,2019,Percent,0.25665,317,42,-0.647
Throgs Neck,Bachelor's Degree or Higher,2019,Percent,0.24809,210,43,-0.689
Elmhurst/Corona,Bachelor's Degree or Higher,2019,Percent,0.24802,404,44,-0.690
The Rockaways,Bachelor's Degree or Higher,2019,Percent,0.24627,414,45,-0.698
Williamsbridge,Bachelor's Degree or Higher,2019,Percent,0.24506,212,46,-0.704
Howard Beach,Bachelor's Degree or Higher,2019,Percent,0.23857,410,47,-0.736
Jamaica/St. Albans,Bachelor's Degree or Higher,2019,Percent,0.21619,412,48,-0.846
Jackson Heights,Bachelor's Degree or Higher,2019,Percent,0.20947,403,49,-0.879
Unionport/Soundview,Bachelor's Degree or Higher,2019,Percent,0.19635,209,50,-0.944
Brownsville,Bachelor's Degree or Higher,2019,Percent,0.16182,316,51,-1.114
Concourse/Highbridge,Bachelor's Degree or Higher,2019,Percent,0.15378,204,52,-1.154
Bedford Park,Bachelor's Degree or Higher,2019,Percent,0.1535,207,53,-1.155
University Heights,Bachelor's Degree or Higher,2019,Percent,0.15164,205,54,-1.164
Mott Haven,Bachelor's Degree or Higher,2019,Percent,0.13319,201,55,-1.255
Hunts Point,Bachelor's Degree or Higher,2019,Percent,0.13319,202,56,-1.255
East New York,Bachelor's Degree or Higher,2019,Percent,0.1328,305,57,-1.257
Morrisania,Bachelor's Degree or Higher,2019,Percent,0.11322,203,58,-1.353
East Tremont,Bachelor's Degree or Higher,2019,Percent,0.11322,206,59,-1.353